
  ------------------------------------------------------------------------------
  | Program:  LeroiAir                                
  | Version:  5.5.5                                   
  | Date:     06 September, 2018                      
  |
  | Authors:  CSIRO Electromagnetic Modelling Group   
  |           Art Raiche, Fred Sugeng and Glenn Wilson
  | Project:  AMIRA P223F                             
  |
  | Compiler: GCC version 10.1.0
  | Options:  -march=broadwell -mmmx -mno-3dnow -msse -msse2 -msse3 -mssse3 -mno-sse4a -mcx16 -msahf -mmovbe -maes -mno-sha -mpclmul -mpopcnt -mabm -mno-lwp -mfma -mno-fma4 -mno-xop -mbmi -mno-sgx -mbmi2 -mno-pconfig -mno-wbnoinvd -mno-tbm -mavx -mavx2 -msse4.2 -msse4.1 -mlzcnt -mrtm -mhle -mrdrnd -mf16c -mfsgsbase -mrdseed -mprfchw -madx -mfxsr -mxsave -mxsaveopt -mno-avx512f -mno-avx512er -mno-avx512cd -mno-avx512pf -mno-prefetchwt1 -mno-clflushopt -mno-xsavec -mno-xsaves -mno-avx512dq -mno-avx512bw -mno-avx512vl -mno-avx512ifma -mno-avx512vbmi -mno-avx5124fmaps -mno-avx5124vnniw -mno-clwb -mno-mwaitx -mno-clzero -mno-pku -mno-rdpid -mno-gfni -mno-shstk -mno-avx512vbmi2 -mno-avx512vnni -mno-vaes -mno-vpclmulqdq -mno-avx512bitalg -mno-movdiri -mno-movdir64b -mno-waitpkg -mno-cldemote -mno-ptwrite -mno-avx512bf16 -mno-enqcmd -mno-avx512vp2intersect --param=l1-cache-size=32 --param=l1-cache-line-size=64 --param=l2-cache-size=35840 -mtune=broadwell -O3 -fwhole-program -freal-4-real-10 -freal-8-real-10
  |
  | Started:  11/08/2020 at 09:42:22
  ------------------------------------------------------------------------------


 DIGHEM Example: 100 ohm m regolith + 1 m thick, 10 S target (modelled as 10 m thick)

  TDFD =  2   DO3D =  1   PRFL =  1    ISTOP = 0

          +------------------------------------------------+
          +  Frequency-Domain Airborne System Information  +
          +------------------------------------------------+

  NFRQ =  5;  CMP = 1;  NPPF = 3
  Data will be expressed as ppm 

  Frequencies, Tx Angles and Receiver Offset(s)

     Frequency  TXCLN  TXAZM   ZRX   XRX   YRX   CONFIG
     ---------  -----  -----   ---   ---   ---   ------
  1     400.      0.     0.    0.0   8.1   0.0    HCP
  2     900.     90.     0.    0.0   8.1   0.0    VCA
  3    5500.     90.     0.    0.0   8.1   0.0    VCA
  4    7200.      0.     0.    0.0   8.1   0.0    HCP
  5   56000.      0.     0.    0.0   6.3   0.0    HCP


  NSTAT =       161   SURVEY = 2   BAROMTRC = 1   LINE_TAG = 1

      161 transmitter positions along the flight path

     Line   Stat       East        North       Alt     Bearing
     ----   ----       ----        -----       ---     -------
    10000     1       -2508.1         0.0      30.0      90.0
    10000     2       -2458.1         0.0      30.0      90.0
    10000     3       -2408.1         0.0      30.0      90.0
    10000     4       -2358.1         0.0      30.0      90.0
    10000     5       -2308.1         0.0      30.0      90.0
    10000     6       -2258.1         0.0      30.0      90.0
    10000     7       -2208.1         0.0      30.0      90.0
    10000     8       -2158.1         0.0      30.0      90.0
    10000     9       -2108.1         0.0      30.0      90.0
    10000    10       -2058.1         0.0      30.0      90.0
    10000    11       -2008.1         0.0      30.0      90.0
    10000    12       -1958.1         0.0      30.0      90.0
    10000    13       -1908.1         0.0      30.0      90.0
    10000    14       -1858.1         0.0      30.0      90.0
    10000    15       -1808.1         0.0      30.0      90.0
    10000    16       -1758.1         0.0      30.0      90.0
    10000    17       -1708.1         0.0      30.0      90.0
    10000    18       -1658.1         0.0      30.0      90.0
    10000    19       -1608.1         0.0      30.0      90.0
    10000    20       -1558.1         0.0      30.0      90.0
    10000    21       -1508.1         0.0      30.0      90.0
    10000    22       -1458.1         0.0      30.0      90.0
    10000    23       -1408.1         0.0      30.0      90.0
    10000    24       -1358.1         0.0      30.0      90.0
    10000    25       -1308.1         0.0      30.0      90.0
    10000    26       -1258.1         0.0      30.0      90.0
    10000    27       -1208.1         0.0      30.0      90.0
    10000    28       -1158.1         0.0      30.0      90.0
    10000    29       -1108.1         0.0      30.0      90.0
    10000    30       -1058.1         0.0      30.0      90.0
    10000    31       -1008.1         0.0      30.0      90.0
    10000    32        -958.1         0.0      30.0      90.0
    10000    33        -908.1         0.0      30.0      90.0
    10000    34        -858.1         0.0      30.0      90.0
    10000    35        -808.1         0.0      30.0      90.0
    10000    36        -758.1         0.0      30.0      90.0
    10000    37        -708.1         0.0      30.0      90.0
    10000    38        -658.1         0.0      30.0      90.0
    10000    39        -608.1         0.0      30.0      90.0
    10000    40        -558.1         0.0      30.0      90.0
    10000    41        -508.1         0.0      30.0      90.0
    10000    42        -495.6         0.0      30.0      90.0
    10000    43        -483.1         0.0      30.0      90.0
    10000    44        -470.6         0.0      30.0      90.0
    10000    45        -458.1         0.0      30.0      90.0
    10000    46        -445.6         0.0      30.0      90.0
    10000    47        -433.1         0.0      30.0      90.0
    10000    48        -420.6         0.0      30.0      90.0
    10000    49        -408.1         0.0      30.0      90.0
    10000    50        -395.6         0.0      30.0      90.0
    10000    51        -383.1         0.0      30.0      90.0
    10000    52        -370.6         0.0      30.0      90.0
    10000    53        -358.1         0.0      30.0      90.0
    10000    54        -345.6         0.0      30.0      90.0
    10000    55        -333.1         0.0      30.0      90.0
